7.581916430282567010e-01,7.581916430282567010e-01
1.101916485181237831e-01,1.101916485181237831e-01
1.248455299863308471e-01,1.248455299863308471e-01
4.681104366578192622e-01,4.681104366578192622e-01
1.101440971385992812e-01,1.101440971385992812e-01
6.477548428656536572e-01,6.477548428656536572e-01
6.599185550256125854e-01,6.599185550256125854e-01
5.535004609731620784e-01,5.535004609731620784e-01
7.511354642952250416e-01,7.511354642952250416e-01
8.005691256233331554e-01,8.005691256233331554e-01
7.484432197807874276e-01,7.484432197807874276e-01
6.207804570902095698e-01,6.207804570902095698e-01
7.965320172458728587e-01,7.965320172458728587e-01
1.677664818203865871e-01,1.677664818203865871e-01
6.512261888027330858e-01,6.512261888027330858e-01
2.271004984562452478e-02,2.271004984562452478e-02
5.078876613206949331e-02,5.078876613206949331e-02
6.148705823823933381e-01,6.148705823823933381e-01
7.489768321475277491e-01,7.489768321475277491e-01
2.871719230001106848e-01,2.871719230001106848e-01
2.701512744386747045e-01,2.701512744386747045e-01
6.356526569249935921e-02,6.356526569249935921e-02
7.428882316854857892e-01,7.428882316854857892e-01
7.909329182960088689e-01,7.909329182960088689e-01
3.055499523368945813e-01,3.055499523368945813e-01
2.914583752088599211e-01,2.914583752088599211e-01
8.404217558275944855e-02,8.404217558275944855e-02
1.071223915646573321e-01,1.071223915646573321e-01
3.302671291790471031e-01,3.302671291790471031e-01
2.626131277981383350e-01,2.626131277981383350e-01
7.248465441238524098e-01,7.248465441238524098e-01
5.715406073498562334e-01,5.715406073498562334e-01
4.561245524887352354e-01,4.561245524887352354e-01
1.523022372684335046e-01,1.523022372684335046e-01
1.932359534177345226e-02,1.932359534177345226e-02
6.795981390277602285e-01,6.795981390277602285e-01
3.306421736786639420e-01,3.306421736786639420e-01
1.261579305010281649e-01,1.261579305010281649e-01
4.392849311740540386e-01,4.392849311740540386e-01
1.350212291818346229e-04,1.350212291818346229e-04
2.352905866315161965e-01,2.352905866315161965e-01
6.485266791133672548e-01,6.485266791133672548e-01
6.653302913594788537e-01,6.653302913594788537e-01
2.358995551582223349e-01,2.358995551582223349e-01
5.452245090069760547e-01,5.452245090069760547e-01
1.425609692930975524e-02,1.425609692930975524e-02
3.888679990685357524e-01,3.888679990685357524e-01
6.803413358867040905e-01,6.803413358867040905e-01
